,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEER,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
226,1084.09,6,5,4,55.56,2,19086.2069,0,0,7500.0
227,1870.48,6,5,1,21.5,4,9467.241379,1,1,3848.0
228,2322.55,4,5,6,44.86,3,15197.10145,1,0,6580.0
229,1203.98,4,5,3,64.39,2,14937.17949,0,0,3900.0
230,1257.97,2,5,3,60.66,2,15545.0,0,0,0.0
231,1345.77,3,5,1,56.76,2,5649.166667,1,1,3960.0
232,1360.64,3,5,6,72.78,1,14030.0,0,0,5400.0
233,1154.68,5,5,5,65.92,2,20874.0,0,0,3744.0
234,963.99,2,5,6,70.02,1,29042.0,0,0,0.0
235,1620.38,3,5,9,55.21,2,21927.47253,0,0,5940.0
236,848.35,2,5,5,75.06,1,19274.0,0,0,3068.0
237,1152.36,7,5,2,49.87,3,22513.7931,0,0,0.0
238,1129.24,4,5,2,66.26,2,13033.33333,0,0,4050.0
239,814.72,6,5,1,74.39,1,9234.482759,1,0,3328.0
240,1109.18,2,5,4,68.41,2,14416.0,0,0,3800.0
241,770.97,5,5,1,84.11,1,6317.0,0,0,3750.0
242,1323.31,3,5,1,67.65,2,4697.530864,1,1,2640.0
243,800.22,6,5,1,73.84,1,6063.793103,1,1,3120.0
244,842.67,7,5,2,70.13,1,16696.55172,0,0,3172.0
245,1219.45,7,5,2,59.33,2,20265.51724,0,1,0.0
246,1136.16,2,5,3,72.44,1,10720.0,0,0,5876.0
247,1058.46,7,5,1,65.25,2,5270.689655,1,1,4888.0
248,1758.96,2,5,2,61.87,2,13995.0,1,1,0.0
249,1519.88,2,5,4,53.44,3,20267.0,0,0,0.0
250,1012.04,1,5,6,71.89,1,20496.0,0,0,7800.0
251,1297.38,3,5,9,71.38,1,27959.85915,0,0,13200.0
252,1332.65,1,5,10,63.06,2,31271.44152,0,0,3230.547599
253,1992.97,2,5,7,37.71,4,29606.0,0,0,0.0
254,615.91,6,5,1,84.27,1,10215.51724,0,1,0.0
255,2020.89,5,5,9,45.2,3,22417.3913,0,0,5160.0
256,850.39,6,5,1,76.22,1,9310.344828,1,0,3432.0
257,833.17,6,5,3,69.82,1,20585.27851,0,0,3245.538462
258,2584.35,6,5,2,1.0,5,11917.24138,1,1,5564.0
259,1201.08,6,5,1,39.3,3,6365.517241,1,1,3952.0
260,1948.39,6,5,5,16.93,5,24931.03448,0,0,6636.0
261,875.62,7,5,4,67.84,2,22810.34483,0,0,4732.0
262,996.06,6,5,3,59.86,2,20787.93103,0,0,5040.0
263,1042.22,6,5,5,63.96,2,33170.68966,0,0,4680.0
264,853.83,7,5,1,71.65,1,10160.34483,0,0,4758.0
265,1393.08,5,5,5,69.28,1,10228.26087,0,0,4940.0
266,984.55,6,5,5,63.63,2,28889.65517,0,0,5520.0
267,860.58,7,5,1,70.05,1,9013.793103,1,1,2366.0
268,1125.88,3,5,5,77.22,1,11850.71429,0,0,5340.0
269,1307.24,3,5,8,73.91,1,16867.90123,0,0,7740.0
270,1184.37,2,5,6,68.62,1,27313.0,0,0,0.0
271,1878.8,3,5,8,62.17,2,23708.57143,0,0,6840.0
272,1557.47,2,5,7,55.4,2,32453.0,0,0,0.0
273,1327.81,1,5,10,66.61,2,55234.0,0,0,7536.0
