,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ_LILEE,fpflgb,fpflgf,HousingCosts
9080,1867.11,1,9,6,58.08,2,31240.0,0,0,0.0
9081,993.01,3,8,4,79.32,1,5230.0,0,0,15600.0
9082,1140.92,5,9,2,70.28,1,10223.61538,0,0,4615.384615
9083,1494.57,2,9,3,59.17,2,14575.0,0,0,0.0
9084,2709.11,3,7,10,29.85,4,49890.0,0,0,20400.0
9085,1206.18,1,8,5,58.29,2,14188.0,0,0,10692.0
9086,1530.5,3,10,10,66.57,2,58694.16667,0,0,3600.0
9087,2581.08,3,9,8,38.69,3,23982.6087,0,0,0.0
9088,1194.03,2,2,3,69.72,1,19647.0,0,0,0.0
9089,1242.61,3,10,7,74.33,1,18703.57143,0,0,6876.0
9090,1107.08,3,8,10,60.52,2,52693.33333,0,0,13392.0
9091,2730.39,2,5,9,35.51,4,20400.70423,0,0,21000.0
9092,1054.45,2,10,6,65.2,2,23076.0,0,0,7668.0
9093,1560.94,7,6,1,40.62,3,13393.10345,1,1,0.0
9094,2094.17,2,4,8,33.21,4,44614.0,0,0,0.0
9095,1165.29,1,7,7,68.59,1,28340.14467,0,0,9609.855326
9096,773.4,1,8,3,83.79,1,8910.0,0,0,10800.0
9097,2394.41,3,8,10,51.45,3,100000.0,0,0,5400.0
9098,2028.3,3,1,4,57.38,2,12740.71429,0,0,4560.0
9099,1157.71,1,2,8,69.75,1,24949.56303,0,0,17284.43697
9100,1120.34,2,7,9,78.57,1,56309.0,0,0,0.0
9101,1623.91,2,9,8,44.49,3,44910.0,0,0,0.0
9102,1289.72,5,10,8,59.59,2,32796.0,0,0,9600.0
9103,1172.13,1,2,5,61.07,2,18323.0,0,0,6900.0
9104,1168.88,5,2,3,67.82,2,10808.0,0,0,6500.0
9105,656.55,6,5,1,74.3,1,9544.827586,0,0,3822.0
9106,1839.53,1,4,7,51.38,3,18585.0,0,0,19200.0
9107,1060.53,3,4,2,74.47,1,5923.333333,1,0,3650.0
9108,1159.83,2,7,3,69.0,1,17985.0,0,0,0.0
9109,1675.39,4,1,6,64.91,2,17300.0,0,0,4800.0
