,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
2286,1243.07,7,10,4,35.6,4,33350.0,0,0,0.0
2287,1178.97,4,2,5,74.17,1,17377.11864,0,0,5400.0
2288,1363.5,3,6,7,73.88,1,13868.13187,0,0,7150.0
2289,786.39,7,9,3,73.45,1,28215.51724,0,0,0.0
2290,1432.59,3,7,6,70.1,1,9198.230088,0,0,8320.0
2291,1621.38,3,9,10,50.1,3,29711.37073,0,0,17843.08098
2292,908.49,6,5,6,60.11,2,47574.13793,0,0,2880.0
2293,1264.12,3,4,2,65.03,2,6800.833333,0,0,4628.0
2294,1001.0,4,6,2,70.83,1,10515.38462,1,0,4560.0
2295,1022.86,1,1,9,72.93,1,33204.22535,0,0,0.0
2296,1454.91,3,1,4,68.43,2,8142.857143,0,0,4900.0
2297,1308.17,1,4,5,67.08,2,18853.0,0,0,4176.0
2298,1136.87,2,5,6,59.29,2,28404.0,0,0,0.0
2299,1036.7,5,8,3,64.03,2,11216.0,0,0,6684.0
2300,1440.5,3,9,7,66.06,2,15810.0,0,0,6344.0
2301,994.2,3,5,4,71.02,1,13846.66667,0,0,4992.0
2302,825.98,7,6,2,69.42,1,15765.51724,0,0,5148.0
2303,2404.81,1,10,3,12.55,5,10473.2,1,1,6065.8
2304,1395.35,7,7,4,47.73,3,23794.82759,0,0,6300.0
2305,1398.29,2,8,5,50.97,3,12633.09859,0,0,6656.0
2306,1125.88,3,9,5,82.1,1,10764.375,0,0,8632.0
2307,1238.88,3,2,5,69.79,1,11247.53086,0,0,6900.0
2308,1390.07,3,5,10,64.15,2,55360.83333,0,0,5076.0
2309,702.99,7,9,2,73.17,1,11267.60415,0,0,6493.789593
2310,1413.63,2,4,10,73.13,1,53264.78873,0,0,0.0
2311,1565.84,2,4,8,67.74,2,37191.0,0,0,0.0
2312,1178.04,5,2,7,69.96,1,23757.04225,0,0,0.0
2313,756.98,7,5,1,65.69,2,4974.137931,0,1,4680.0
2314,1961.54,5,6,6,52.2,3,14231.48148,0,0,5400.0
2315,930.37,1,5,3,66.95,2,13666.0,0,0,3600.0
2316,1178.49,4,6,5,65.25,2,15625.83333,0,0,5304.0
2317,1361.87,1,6,10,65.4,2,47006.0,0,0,15600.0
2318,1166.99,2,5,4,67.2,2,20260.0,0,0,0.0
2319,1624.4,3,4,6,60.38,2,16999.28571,0,0,3600.0
2320,1008.94,1,2,4,73.54,1,14876.0,0,0,4472.0
2321,916.26,1,6,7,66.42,2,29007.0,0,0,5400.0
2322,1367.31,3,6,3,70.46,1,5292.410714,1,0,6600.0
2323,2155.61,5,4,10,61.67,2,24707.5188,0,0,0.0
2324,1590.66,2,8,8,55.16,2,25371.12676,0,0,6760.0
2325,845.48,1,7,2,64.94,2,7368.0,0,0,5980.0
2326,1911.14,3,8,5,63.85,2,22196.66667,0,0,0.0
2327,1227.16,3,5,8,64.88,2,22695.71429,0,0,6588.0
2328,970.16,4,5,2,67.12,2,2996.153846,1,0,11050.0
2329,2594.88,3,7,9,54.15,3,29520.625,0,0,10080.0
2330,646.4,7,7,1,75.98,1,10739.65517,1,0,4420.0
2331,2443.22,3,7,6,44.96,3,9382.5,1,0,12600.0
2332,995.19,3,9,9,71.53,1,29346.42857,0,0,7200.0
2333,1287.63,3,8,6,55.45,2,16030.0,0,0,10608.0
2334,1445.7,1,2,7,48.47,3,29808.4681,0,0,3857.531904
2335,2562.6,3,9,9,45.59,3,29047.53086,0,0,6144.0
2336,1626.32,2,2,9,69.88,1,53613.0,0,0,0.0
2337,863.11,4,6,2,72.42,1,10496.15385,1,0,4050.0
2338,1643.44,3,9,9,63.4,2,35454.88371,0,0,15370.13955
2339,1074.06,2,1,4,67.03,2,16797.0,0,0,3120.0
2340,1892.93,4,2,6,52.79,3,24791.83673,0,0,3542.0
2341,742.47,6,7,2,70.75,1,13581.03448,0,0,5252.0
2342,700.95,7,1,3,74.28,1,22637.93103,0,0,3479.0
2343,929.44,2,9,10,76.42,1,59516.0,0,0,0.0
2344,804.55,7,10,2,66.96,2,14925.86207,0,0,4212.0
2345,681.81,6,9,1,75.96,1,6937.931034,0,0,5720.0
2346,1019.43,1,5,7,69.37,1,22217.77243,0,0,11185.22757
2347,1736.26,4,9,5,54.32,3,16295.76271,0,0,6344.0
2348,1484.32,2,2,3,62.34,2,16102.0,0,0,0.0
2349,1056.58,2,9,6,71.82,1,28557.0,0,0,0.0
2350,766.52,6,1,6,72.45,1,35343.10345,0,0,8628.0
2351,980.38,6,6,2,65.8,2,14968.96552,0,0,6300.0
2352,1146.24,2,8,9,65.84,2,55978.0,0,0,0.0
2353,1225.41,3,5,7,66.73,2,25535.83333,0,0,4800.0
2354,1334.68,4,6,6,68.08,2,21255.83333,0,0,3000.0
2355,755.8,1,4,7,71.89,1,30275.0,0,0,4500.0
2356,1822.82,3,7,7,69.19,1,17379.375,0,0,5520.0
2357,973.81,7,6,2,75.51,1,13900.0,1,0,5150.0
2358,1857.21,3,9,3,38.05,4,7065.833333,0,1,9600.0
2359,804.7,6,7,1,72.1,1,11384.48276,1,1,0.0
2360,1653.93,3,8,2,61.57,2,4750.0,1,1,6344.0
2361,1138.87,3,2,4,71.44,1,11635.21127,0,0,5005.0
2362,979.01,6,9,2,66.06,2,22498.27586,0,0,0.0
2363,1425.38,4,9,1,60.5,2,1434.130435,1,1,8706.2
2364,965.36,4,10,4,65.69,2,14691.0,0,0,4160.0
2365,1096.74,3,2,6,70.68,1,20790.51282,0,0,4615.384615
2366,1647.13,4,7,3,48.86,3,11169.38776,1,0,6240.0
2367,1104.94,4,8,6,67.08,2,22681.30735,0,0,5017.3188
2368,843.51,7,4,2,68.11,2,19093.10345,0,0,3224.0
2369,1241.04,6,7,1,21.29,4,-1541.784679,1,1,9184.235114
2370,986.47,2,2,5,75.91,1,23072.0,0,0,0.0
2371,1271.91,1,8,9,57.04,2,49304.0,0,0,0.0
2372,813.75,7,6,2,67.33,2,16563.7931,0,0,3640.0
2373,1289.88,3,5,5,66.23,2,11718.47826,0,0,4320.0
2374,1650.86,3,8,6,62.25,2,12003.75,0,0,11400.0
2375,1456.57,2,2,6,59.88,2,31048.0,0,0,0.0
2376,739.26,7,2,1,74.08,1,4463.793103,1,0,7020.0
2377,1682.53,5,9,9,60.78,2,21451.76991,0,0,6000.0
2378,1305.43,1,10,9,63.43,2,54747.0,0,0,0.0
2379,766.6,7,6,2,63.22,2,20173.10345,0,0,3369.6
2380,1220.18,4,5,3,70.26,1,11276.27119,0,0,4056.0
2381,1064.39,7,1,1,60.43,2,4487.931034,1,1,3860.0
2382,660.46,6,1,1,80.7,1,10758.62069,1,0,5376.0
2383,1696.38,1,8,8,54.51,2,6076.0,0,0,37200.0
2384,1329.87,2,7,5,65.51,2,16238.7768,0,0,6406.2232
2385,1201.61,3,8,6,61.94,2,12372.14286,0,0,12350.0
2386,1384.13,5,7,10,68.72,1,40040.14085,0,0,4464.0
2387,1327.87,4,2,5,69.62,1,16722.88136,0,0,6840.0
2388,2983.41,1,10,10,6.85,5,65874.0,0,0,0.0
2389,1066.32,2,6,6,79.44,1,16583.80282,0,0,4264.0
