,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts
5704,969.78,7,4,2,61.46,2,23051.72414,0,0,0.0
5705,839.3,6,8,1,67.76,2,10056.89655,1,0,3484.0
5706,865.56,1,7,7,67.96,2,23483.0,0,0,10200.0
5707,1797.33,2,9,10,62.08,2,56778.16901,0,0,0.0
5708,1835.67,3,2,6,60.46,2,11314.41441,0,0,4560.0
5709,679.17,7,9,1,77.03,1,-13968.96552,1,1,10800.0
5710,727.15,6,9,6,70.35,1,52606.89655,0,0,0.0
5711,771.98,2,8,5,75.31,1,16915.0,0,0,6000.0
5712,1210.78,2,7,1,58.85,2,11058.0,0,1,0.0
5713,2500.48,3,5,10,62.3,2,29697.78761,0,0,0.0
5714,1587.97,3,9,9,63.65,2,29004.93827,0,0,10200.0
5715,1503.84,3,8,5,59.48,2,6283.571429,0,0,16800.0
5716,1177.81,1,10,10,62.85,2,52785.0,0,0,8880.0
5717,1325.89,5,4,7,74.01,1,15899.45652,0,0,4264.0
5718,884.44,3,5,2,72.06,1,5688.571429,0,0,6300.0
5719,1140.83,2,7,6,59.37,2,27310.0,0,0,0.0
5720,1072.21,2,10,6,57.95,2,27305.0,0,0,0.0
5721,813.16,7,7,2,69.48,1,15113.7931,0,0,6360.0
5722,1128.34,4,8,2,57.48,2,-818.3673469,0,0,13000.0
5723,751.7,6,9,1,65.52,2,10996.55172,1,0,5044.0
5724,1105.34,2,8,4,67.6,2,19393.0,0,0,0.0
5725,1135.89,2,4,9,66.81,2,48147.0,0,0,0.0
5726,963.94,2,8,6,72.64,1,31459.0,0,0,0.0
5727,1056.44,7,8,1,64.75,2,5348.275862,1,1,5520.0
5728,967.47,1,5,6,71.86,1,25475.0,0,0,4080.0
5729,1302.75,2,1,2,62.22,2,14799.0,0,0,0.0
5730,978.53,1,4,9,74.59,1,37306.0,0,0,9000.0
5731,1264.31,3,2,5,67.27,2,15795.83333,0,0,5700.0
5732,745.04,7,8,1,70.78,1,-8927.206539,1,1,10608.77979
5733,1719.68,1,2,9,64.21,2,40583.0,0,0,10200.0
5734,879.66,7,4,3,76.63,1,19806.89655,0,0,5668.0
5735,780.59,1,8,10,81.89,1,49716.0,0,0,12000.0
5736,905.47,1,5,3,68.89,1,12389.0,0,0,4080.0
5737,737.13,1,7,7,77.28,1,28219.0,0,0,8700.0
5738,1275.8,2,9,8,57.93,2,39954.0,0,0,0.0
5739,977.75,5,7,8,74.48,1,32813.38462,0,0,5704.615385
5740,892.32,7,2,3,51.95,3,19811.64488,0,0,4659.245968
5741,2595.6,1,4,7,60.06,2,35345.0,0,0,0.0
5742,615.01,7,1,6,74.99,1,43009.84364,0,0,4662.290688
5743,877.1,6,5,5,66.27,2,30862.06897,0,0,5460.0
5744,792.3,5,8,7,72.45,1,25484.0,0,0,7920.0
5745,772.46,2,4,8,84.76,1,38826.0,0,0,0.0
5746,1079.89,1,10,7,62.12,2,26378.0,0,0,7020.0
5747,1181.87,3,9,9,68.25,2,23675.0,0,0,11880.0
