,Unnamed: 0,fuelexpn,hhcompx,gorEHS,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
2914,2914,1085.56,6,2,1,60.99,2,18044.82759,0,1,0.0,-0.46750738128553904
2915,2915,1243.16,3,9,2,68.2,2,6279.285714,1,0,5200.0,-0.11667565811720758
2916,2916,1278.34,1,5,7,61.43,2,27448.0,0,0,5088.0,1.3715271610679332
2917,2917,1226.09,2,6,9,77.49,1,21861.53224,0,0,4999.93713,-0.20367193633292874
2918,2918,1820.79,3,6,8,51.12,3,13727.68503,0,0,8948.522542,0.28013374117654744
2920,2920,1200.33,3,2,7,74.35,1,19548.57143,0,0,4160.0,1.3679735345092492
2922,2922,631.21,7,4,2,79.31,1,14913.7931,0,0,3952.0,0.45957256257415097
2923,2923,573.12,7,4,1,81.57,1,13896.97534,0,0,3160.7543,-0.12738170386434153
2925,2925,1926.02,2,9,9,39.61,3,53046.0,0,0,0.0,0.24387403816040923
2926,2926,1385.28,6,2,1,53.49,3,6477.586207,1,1,3952.0,0.3304499996001809
2927,2927,1303.02,2,2,2,63.02,2,13263.0,0,0,0.0,-0.48025769872207646
2928,2928,1090.33,7,2,1,67.03,2,13645.22546,1,0,3230.769231,-0.4386491924707947
2929,2929,1897.16,5,10,4,53.27,3,312.2123894,0,0,20734.4,0.03499022936052003
2930,2930,1096.4,4,4,2,66.48,2,11806.0,0,0,3224.0,-0.8231032484533882
2931,2931,1024.63,4,4,2,76.15,1,10411.53846,1,0,5980.0,1.8964616647182844
2932,2932,1604.37,2,2,8,57.96,2,38062.0,0,0,0.0,-0.2852084261150845
2933,2933,829.85,7,10,6,71.56,1,51272.41379,0,0,0.0,-2.821281533029246
2934,2934,1028.88,2,1,8,74.82,1,38128.0,0,0,0.0,-1.54720993010593
2935,2935,1646.5,4,9,6,64.3,2,17565.83333,0,0,6240.0,-0.6164637901109523
2937,2937,874.06,7,6,3,70.65,1,21401.72414,0,0,3536.0,-0.5209967225273753
2938,2938,1054.79,7,4,2,63.74,2,14437.93103,1,0,5100.0,-0.7678813679906316
2939,2939,1110.1,7,10,1,54.43,3,12867.24138,1,1,0.0,-0.5521785498781329
2941,2941,802.61,7,6,2,74.05,1,15927.58621,0,0,4576.0,-0.2621824604519082
2942,2942,942.26,2,7,1,74.35,1,10669.0,0,0,0.0,-1.9158212405731825
2943,2943,1189.07,3,9,3,63.69,2,6272.5,0,0,8412.0,-0.9530658905635204
2944,2944,1036.23,1,8,1,70.21,1,-10840.0,1,1,15349.0,-0.30566973621296517
2945,2945,1879.83,2,4,9,66.08,2,24748.36957,0,0,0.0,-1.0941586169009563
2946,2946,1102.58,7,4,3,55.59,2,27360.34483,0,0,0.0,3.3367091337820822
2947,2947,1724.75,7,5,4,52.16,3,32720.68966,0,0,0.0,1.2141454145508483
2950,2950,810.33,5,9,3,78.28,1,9095.0,0,0,4680.0,0.9439386340850914
2951,2951,1452.44,2,4,5,61.55,2,14345.07042,0,0,3600.0,2.232337771578525
2952,2952,1574.22,4,9,5,57.69,2,13383.33333,0,0,5616.0,-0.2682507449927269
2953,2953,740.37,7,7,4,77.3,1,37017.24138,0,0,0.0,-0.41166819301242896
2954,2954,864.93,7,10,2,62.77,2,24210.34483,0,0,240.0,0.952108510710021
2955,2955,989.18,7,5,3,70.57,1,24003.44828,0,0,4264.0,0.23596989637190638
2956,2956,1084.63,1,2,6,62.62,2,29766.0,0,0,0.0,-0.3803944200565656
2957,2957,1267.65,3,6,4,71.2,1,15675.0,0,0,864.0,-0.32056375108462243
2958,2958,1908.58,3,7,7,55.78,2,17041.875,0,0,6780.0,2.4992030940299625
2959,2959,581.73,6,8,5,81.83,1,28565.48605,0,0,7922.018093,0.8394974364084362
2960,2960,1175.08,3,8,6,75.32,1,12490.625,0,0,6000.0,-0.7599109015249863
2962,2962,1085.15,7,5,5,60.66,2,41810.34483,0,0,0.0,-0.5976503011506464
2963,2963,1827.38,1,9,10,63.43,2,31215.49296,0,0,14400.0,0.025778768594388667
2964,2964,1207.44,3,2,5,73.36,1,16471.79487,0,0,4648.846154,0.8252349492734863
2965,2965,1064.96,7,2,5,67.42,2,32705.17241,0,0,4160.0,0.6534683249660297
2966,2966,1036.02,4,8,5,79.44,1,12590.67797,0,0,9256.0,0.29589034394893027
2967,2967,1932.61,3,5,9,51.3,3,31525.0,0,0,7200.0,0.37731229151788065
2968,2968,1455.02,4,2,4,70.72,1,10627.85714,0,0,4472.0,-0.881516594506028
2969,2969,1859.07,3,6,4,43.89,3,8727.857143,0,0,7080.0,-0.14384335489236103
2970,2970,749.1,4,8,9,82.12,1,38332.0,0,0,7560.0,-0.7746299115570615
