,Unnamed: 0,fuelexpn,hhcompx,gorehs,FullincDeciles,FPEERrating,FPEERband,AHCIncomeEQ,fpflgb,fpflgf,HousingCosts,split
7525,7525,1433.69,4,7,5,65.52,2,8905.625,0,0,11400.0,-0.7418768004850848
7527,7527,2359.65,5,2,6,33.6,4,17655.6338,0,0,4800.0,0.011413518973849006
7528,7528,1421.61,1,4,2,63.7,2,8611.413043,0,0,0.0,0.8750271068684565
7531,7531,1070.58,2,9,10,69.0,1,44413.38028,0,0,0.0,1.0315392189022228
7532,7532,1240.76,3,8,8,64.32,2,23735.71429,0,0,9600.0,-1.5432465991806634
7534,7534,1031.77,4,4,3,67.97,2,13013.26531,0,0,4800.0,-1.5159841850914764
7535,7535,827.86,1,10,9,78.0,1,48296.0,0,0,0.0,0.6810294813692086
7536,7536,648.55,6,5,1,74.69,1,12568.96552,0,0,5100.0,-1.546615760423344
7537,7537,1271.1,5,1,5,67.0,2,21751.1183,0,0,4278.8817,-0.8347173419876363
7539,7539,1410.91,2,2,7,60.77,2,23883.0,0,0,10800.0,0.09587418138436317
7540,7540,1158.81,5,9,7,68.2,2,24071.12676,0,0,0.0,-1.600984988435149
7542,7542,702.16,6,9,4,78.08,1,22037.93103,0,0,9600.0,0.5623045183919974
7543,7543,1000.92,7,6,4,57.19,2,34912.06897,0,0,0.0,-2.203937037403903
7545,7545,2268.11,3,9,8,35.32,4,21961.7284,0,0,6240.0,0.14028612060358878
7546,7546,836.72,6,2,3,59.47,2,20498.27586,0,0,6000.0,0.12686401635600253
7547,7547,2179.04,3,10,9,54.24,3,29641.42857,0,0,10284.0,-0.4288770421232691
7548,7548,1090.34,3,4,5,65.28,2,12772.83951,0,0,4080.0,-0.7645386204491299
7549,7549,1577.7,3,10,7,71.39,1,15613.0,0,0,5044.0,-0.5512480003140645
7550,7550,836.75,4,8,2,73.96,1,10535.89744,1,0,5760.0,-0.8170468147699979
7551,7551,1299.16,1,2,4,69.53,1,17698.0,0,0,4992.0,0.5550849167707058
7552,7552,1595.34,4,7,6,56.65,2,16238.57491,0,0,6127.995125,0.12752084083581489
7553,7553,1471.05,3,4,10,76.61,1,65947.85714,0,0,0.0,0.3406669472895417
7554,7554,1050.06,5,10,2,72.46,1,9594.0,1,0,4628.0,0.8237604112957574
7555,7555,898.22,1,2,9,78.5,1,54427.0,0,0,4680.0,1.1982820643420544
7556,7556,562.03,7,8,5,77.06,1,37631.03448,0,0,4836.0,-1.4290555141427423
7558,7558,752.35,6,8,1,65.43,2,6039.655172,1,0,4836.0,0.27648320354550143
7559,7559,887.23,4,5,2,73.25,1,10419.0,0,0,4743.0,-0.17601790041613588
7560,7560,2607.71,5,8,10,58.35,2,41039.38053,0,0,48000.0,1.1610312354862424
7561,7561,982.42,7,7,4,65.59,2,37315.51724,0,0,0.0,0.9197405719697507
7562,7562,1634.24,3,4,7,69.24,1,12179.91071,0,0,7200.0,-1.2154672921175487
7563,7563,1911.48,3,8,10,62.43,2,50647.14286,0,0,2076.0,-0.21801867803591596
7565,7565,1234.76,1,10,6,61.61,2,24598.0,0,0,4680.0,-1.3083069177302562
7567,7567,1182.24,3,9,4,64.63,2,9696.106363,0,0,4592.307692,0.5051460324401931
7568,7568,2882.48,2,6,6,25.18,4,29014.0,0,0,0.0,0.4505534206478273
7569,7569,1136.56,4,6,3,64.54,2,13027.0,0,0,3952.0,0.8443051341369279
7570,7570,1339.75,3,9,7,68.72,1,18960.0,0,0,7080.0,0.4952282344800669
7571,7571,1250.27,5,2,4,56.79,2,18476.0,0,0,4950.0,-0.5018399485555274
7572,7572,1474.53,2,2,4,58.42,2,21869.0,0,0,0.0,1.4365844900458513
7573,7573,894.68,6,4,1,71.29,1,12344.82759,0,0,2580.0,1.120818601745932
7574,7574,1320.1,3,7,6,73.91,1,15093.75,0,0,6144.0,0.2402443869845927
7575,7575,1340.02,5,1,3,72.39,1,8912.676056,0,0,4128.0,-0.6274433047343954
7576,7576,820.65,7,10,2,67.89,2,16074.13793,0,0,5484.0,-0.7041215430974613
7577,7577,818.57,3,8,8,80.9,1,26347.5,0,0,13644.0,0.9155908315464774
7579,7579,736.31,6,9,1,78.21,1,9546.551724,0,0,6120.0,1.0027018201105795
7580,7580,1896.3,5,7,2,39.0,3,10254.0,1,1,5100.0,0.5294672813866204
7582,7582,1118.1,2,6,5,63.36,2,22446.0,0,0,4524.0,-0.062187518644905786
7583,7583,1130.4,1,1,8,69.93,1,34810.1183,0,0,4998.8817,0.1851119314953084
