,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1415
9017,15160023714,0,2,0,0,5460,9843,1,1,1,9843,15303,952.74,132.64,396.65,384.06,39.39,1,1,0,0,1,0,3,2,72.86,1,72.36,1,8,1,3,5,5,3,1,1,3,3,5,2,3,1,6,5,2,1,1,0,0,0,4,871
9018,15160023720,0,4,0,0,0,17394,1,1,1,18780,17394,1317.74,118.22,722.59,436.96,39.97,1,1,0,0,1,0,3,4,64.25,2,63.81,2,2,1,1,3,6,4,1,1,2,2,5,2,1,1,6,5,2,0,1,1,0,0,3,1923
9019,15160023726,0,2,0,0,11100,9415.714286,1.4,1.4,1.21,25575,24282,1442.47,187.82,598.85,600.67,55.13,3,3,0,0,1,0,5,2,65.15,2,64.68,2,9,1,2,4,8,3,1,1,2,1,4,3,1,2,1,3,4,0,0,0,0,0,3,954
9020,15160023727,0,3,0,0,4628,25963.7931,0.58,0.67,0.82,15267,19687,883.45,94.27,503.51,248.4,37.27,3,3,0,0,1,1,4,7,75.64,1,70.21,1,2,1,4,2,5,4,1,1,2,2,5,7,3,1,6,5,1,1,1,0,0,0,2,545
9021,15160023731,0,4,0,0,6161.3188,19801.88817,1.42,1.33,1.07,28560,34280,1458.98,108.56,604.95,696.26,49.21,3,3,0,0,1,0,7,5,67.28,2,66.86,2,8,1,4,6,2,4,1,1,3,3,4,5,1,2,4,5,3,1,1,0,0,0,4,1489
9022,15160023732,0,3,0,0,3952,14163,1,1,1,18825,18115,938.24,118.22,419.99,361.57,38.46,1,1,0,0,1,0,3,3,71.67,1,71.15,1,4,1,3,2,4,2,1,1,2,2,5,1,3,2,5,5,2,1,0,0,0,0,2,528
9023,15160023734,0,3,0,0,0,42594.82759,0.58,0.67,0.82,25666,24705,870.94,40.2,448.92,349.2,32.62,1,1,0,0,1,1,5,9,64.93,2,64.42,2,5,1,1,4,6,3,1,1,2,2,5,7,3,1,6,5,1,0,1,0,0,0,3,1368
9024,15160023753,0,3,0,0,0,14072.41379,0.58,0.67,0.82,8162,8162,849.62,82.64,368.61,365.1,33.27,1,1,1,1,1,1,1,3,71.43,1,70.97,1,6,1,1,3,6,3,1,1,2,2,4,7,3,1,7,6,1,0,1,1,0,0,1,4131
9025,15160023755,0,3,0,0,3650,24752,1,1,1,24752,28402,865.25,55.87,365.69,404.98,38.71,1,1,0,0,1,0,6,6,69.36,1,68.7,1,1,1,4,1,6,1,1,1,2,2,5,1,3,1,5,3,2,1,1,0,0,0,4,537
9026,15160023757,0,4,0,0,9000,27876.63043,1.84,1.66,1.21,61601,60293,2036.92,174.21,1136.31,676.88,49.52,1,1,0,0,1,0,10,7,59.98,2,59.67,2,4,1,1,3,3,5,1,1,3,1,5,3,1,1,3,3,4,1,0,0,0,0,3,2880
9027,15160023762,0,4,0,0,0,31232,1,1,1,32870,31232,1285.99,156.05,605.73,484.56,39.65,1,1,0,0,1,1,6,8,60.61,2,60.21,2,9,1,1,4,4,4,1,1,2,1,1,2,3,1,6,5,2,0,1,0,0,0,3,1949
9028,15160023765,0,2,0,0,4628,9760.43956,1.82,1.73,1.32,18109,22392,1315.03,200.35,472.83,582.75,59.1,3,3,0,0,1,0,4,2,67.87,2,67.34,2,5,1,3,3,4,2,1,1,2,1,4,4,3,1,1,3,5,0,1,0,0,0,2,1687
9029,15160023766,0,4,0,0,11400,26961,1,1,1,39590,38361,1318.11,135.4,782.47,357.35,42.89,2,2,0,0,0,0,8,7,45.49,3,44.87,3,8,1,2,5,4,1,1,1,3,1,5,1,1,1,5,3,2,0,0,0,0,0,3,3114
9030,15160023767,0,2,0,0,4550,7406.521739,1.84,1.66,1.21,19423,18178,1375.41,219.37,519.89,580.73,55.42,2,2,0,0,1,0,3,1,65.49,2,64.97,2,6,1,4,3,5,3,1,1,2,2,1,3,1,1,3,3,4,1,0,0,0,0,4,551
