,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorehs,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,HTHG,WHDBroad,ECO_AW,aagph1718
5411,17180024519,0,4,0,0,6480,96710.83333,1.07,100000,100000,1377.67,155.79,650.93,525.2,45.75,1,1,0,0,1,0,10,10,52.44,3,49.77,3,8,1,4,6,2,3,1,1,3,3,3,3,1,1,1,3,3,0,0,0,4,5989
5412,17180024525,0,4,0,0,22800,16242.0354,1.32,59507,59507,1724.63,229,696.49,736.18,62.96,2,2,0,0,0,0,9,3,56.69,2,53.86,3,9,1,2,3,3,4,1,1,3,1,1,5,1,1,4,1,5,0,0,1,3,1742
5413,17180024526,0,3,0,0,0,31027.46479,1.07,45722,44059,1205.69,135.17,461.99,561.37,47.16,1,1,0,0,1,0,8,7,67.86,2,68.75,1,10,1,1,4,5,3,1,1,2,2,5,2,3,1,5,5,3,1,1,0,3,1798
5414,17180024530,0,2,0,0,5616,14239.65517,0.82,8388,13875,615.78,51.22,234.21,296.1,34.25,1,1,0,0,1,0,2,3,70.55,1,71.1,1,8,1,4,5,6,1,1,1,2,3,5,7,3,2,6,5,1,0,0,1,2,959
5415,17180024531,1,1,59.92420883,72.50829268,10500,11175.92593,1.21,30024,28605,1502.02,252.22,527.27,655.31,67.22,1,1,0,0,1,0,6,2,63.26,2,64.78,2,5,0,2,3,6,4,1,3,2,2,5,3,3,1,1,2,4,0,0,0,3,1370
5416,17180024535,0,4,0,0,5070.237789,46597.76221,1,53436,51668,1740.25,66.14,882.17,748.21,43.73,2,2,0,0,1,1,9,9,59.65,2,58.77,2,2,1,1,4,4,5,1,1,1,1,5,2,1,1,6,5,2,0,0,0,3,1713
5417,17180024536,0,4,0,0,9300,26473,1,37196,35773,1229.86,204.65,510.79,445.75,68.67,1,88,0,0,0,0,7,6,64.58,2,64.58,2,9,0,2,5,7,2,2,2,1,1,-9,1,1,1,5,3,2,0,0,0,3,1454
5418,17180024539,0,2,0,0,7150,12085.71429,1.21,21089,24070,862.07,146.95,156.37,505.66,53.09,1,1,0,0,1,0,5,2,79.5,1,79.5,1,10,1,4,5,9,2,1,1,2,2,5,3,1,1,2,3,4,1,0,0,2,1306
5419,17180024545,0,2,0,0,5824,8963.793103,0.82,5733,11023,746.01,80.31,327.2,304.25,34.25,1,1,1,0,1,0,1,1,66.59,2,65.57,2,8,1,4,5,5,1,1,1,3,3,5,7,3,1,6,5,1,1,0,1,4,653
5420,17180024546,0,4,0,0,4800,16810,1.21,29503,28334,1780.47,173.56,846.72,710.45,49.74,3,3,0,0,1,0,6,4,58.77,2,59.63,2,4,1,1,3,5,5,1,1,2,1,3,5,1,1,3,4,4,1,1,0,3,1493
