,serialanon,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEERrating,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,DWage,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1516
10726,16170032145,0,3,0,0,4080,29015.76087,1.21,58462,57469,1257.46,173.98,505.04,530.82,47.62,1,1,0,0,0,0,10,7,62.57,2,63.25,2,1,1,1,3,5,3,1,1,2,1,3,1,1,1,5,4,4,0,0,0,0,0,3,904
10727,16170032150,0,4,0,0,9600,41981,1,53033,51581,1248.22,106.29,670.38,433.98,37.57,1,1,0,0,0,0,9,9,60.46,2,58.3,2,9,1,1,2,3,3,1,1,3,2,5,1,1,1,5,3,2,0,0,0,0,0,3,3675
10728,16170032156,0,3,0,0,4440,35969,1,41769,40409,1028.19,122.14,463.47,406.25,36.33,1,1,0,0,0,0,8,8,67.43,2,68.31,2,7,1,1,2,5,3,1,1,2,2,3,1,1,1,5,4,2,0,0,0,0,0,3,1731
10729,16170032159,0,3,0,0,0,31465.51724,0.82,19010,18250,951.46,84.28,474.74,360.33,32.11,1,1,0,0,1,1,3,8,65.61,2,64.26,2,2,1,1,2,3,4,1,1,3,2,5,7,3,1,6,5,1,0,1,0,0,1,1,3065
10730,16170032163,0,2,0,0,10800,6900.833333,1.07,20170,19081,860.23,140.8,258.57,413.55,47.31,2,2,0,0,1,0,3,1,72.13,1,71.77,1,9,1,2,6,2,1,1,1,3,3,5,3,3,1,1,2,3,0,0,0,0,0,3,4871
10731,16170032170,1,1,229.6496674,188.3127273,4576,10091.37931,0.82,11119,10429,1153.08,93.43,690.38,333.46,35.81,3,3,1,1,1,1,1,2,42.89,3,42.37,3,8,1,3,4,5,2,1,1,3,1,5,7,3,1,6,5,1,1,1,0,0,0,2,723
10732,16170032174,0,2,0,0,5520,13336.42857,1.21,21393,24191,1129.97,179.65,318,579.08,53.24,3,3,0,0,1,0,5,3,78.26,1,78.26,1,4,1,4,4,9,3,1,1,2,2,5,4,1,1,1,3,4,1,1,0,0,0,2,734
10733,16170032178,0,4,0,0,6850,31028.16901,1.07,52483,50910,1339.68,167.01,484.45,640.39,47.83,3,3,0,0,1,1,9,8,69.77,1,70.83,1,8,1,3,1,5,5,1,1,2,2,4,5,1,1,5,4,3,1,0,0,0,0,4,539
10734,16170032183,0,4,0,0,4234.560337,25017.82399,1.32,51508,49767,1973.62,175.52,909.74,834.68,53.68,1,1,0,0,1,0,9,6,63.91,2,63.59,2,2,1,1,3,4,5,1,1,1,2,5,3,1,1,2,3,5,1,0,0,0,0,3,2412
10735,16170032191,0,3,0,0,13020,34671.42857,1.21,63098,61560,1218.73,186.91,414.29,569.16,48.37,1,1,0,0,1,0,10,8,69.6,1,69.6,1,9,1,1,1,9,4,1,1,2,1,4,3,1,1,1,3,4,0,0,0,0,0,3,1431
10736,16170032192,0,3,0,0,0,22422,1,23542,22422,1063.59,118.69,529.43,379.14,36.33,1,1,0,0,1,0,4,5,62,2,63.08,2,7,1,1,4,5,3,1,1,2,2,4,2,3,1,7,6,2,1,1,0,0,0,3,2140
10737,16170032193,0,3,0,0,0,19205,1,21334,19205,1159.94,110.09,601.42,410.86,37.57,1,1,0,0,1,0,4,5,59.73,2,59.23,2,9,1,1,4,4,3,1,1,1,1,5,2,3,1,6,6,2,1,1,0,0,0,3,3037
10738,16170032200,0,3,0,0,0,44268,1,45859,44268,1095.48,148.53,494.51,414.94,37.5,1,1,0,0,1,0,8,9,62.51,2,63.86,2,2,1,1,4,7,3,1,1,2,2,4,1,3,1,5,5,2,1,0,0,0,0,3,1639
10739,16170032201,0,3,0,0,0,42593,1,43837,42593,920.84,126.05,318.5,439.96,36.33,1,1,0,0,0,0,8,9,69.99,1,69.99,1,7,1,1,3,8,3,1,1,5,2,1,1,1,1,5,4,2,0,0,0,0,0,3,1472
10740,16170032206,1,1,38.29566695,40.97636364,5096,8294.897959,1.07,11666,13225,1299.88,75.08,516.3,660.91,47.59,3,3,1,0,1,0,2,1,69.9,1,70.48,1,6,1,4,2,6,3,1,1,2,2,5,4,1,1,2,3,3,0,1,0,0,0,2,542
10741,16170032209,0,4,0,0,0,16619.23077,1,13166,12963,1951.25,104.21,1257.44,552.1,37.5,1,1,1,1,1,0,2,4,54.94,2,51.49,3,2,1,1,3,4,5,1,1,3,2,5,4,3,1,2,3,2,0,1,1,1,1,1,2843
10742,16170032214,0,4,0,0,3840,38875.86207,0.82,27316,26388,1087.03,90.36,603.01,357.44,36.22,3,3,0,0,0,1,5,9,55.19,2,54.56,2,2,1,1,3,4,3,1,1,1,2,5,6,1,1,5,2,1,0,0,0,0,0,3,5839
10743,16170032222,0,4,0,0,6720,17427.5,1.07,28629,27633,1311.97,127.73,668.57,474.49,41.18,1,1,0,0,1,0,6,4,60.88,2,60.06,2,5,1,1,2,4,3,1,1,1,1,5,3,1,1,1,3,3,0,0,0,0,0,3,902
10744,16170032227,0,3,0,0,9228,46232.92683,1.32,100000,100000,1267.15,212.98,282.08,710.97,61.12,1,1,0,0,1,0,10,10,73.14,1,73.14,1,10,1,1,2,6,3,1,1,5,2,5,5,1,1,1,4,5,1,0,0,0,0,3,1554
10745,16170032229,0,4,0,0,0,37592,1,39140,37592,1394.34,117.06,731.8,507.91,37.57,1,1,0,0,1,1,8,9,56.01,2,52.87,3,9,1,1,2,2,5,1,1,3,2,4,2,3,1,6,5,2,0,0,0,0,0,3,1296
10746,16170032234,0,4,0,0,3050,25201.72414,0.82,15442,17667,1083.13,55.99,614.01,377.72,35.41,3,3,0,0,1,0,3,6,57.69,2,57.69,2,4,1,3,5,5,2,1,1,4,1,5,7,3,1,7,6,1,1,1,0,0,0,4,436
10747,16170032238,1,1,371.7845455,371.7845455,6174.873766,11847.59774,1,14992,15416,1548.33,134.29,827.66,526.86,59.52,1,88,1,1,1,0,2,2,50.67,3,50.08,3,5,0,2,3,7,3,2,2,1,1,-9,4,1,1,3,3,2,0,1,1,0,1,1,1068
10748,16170032240,0,4,0,0,0,16876.63043,1.21,31053,31053,3076.49,94.63,1921.17,995.05,65.64,1,88,0,0,1,0,6,4,51.07,3,49.73,3,2,0,2,4,2,5,1,3,3,1,4,3,1,1,3,3,4,0,0,0,0,0,3,1488
10749,16170032242,0,2,0,0,4212,11556.42857,1.21,16904,20391,1285.37,175.63,498.83,557.25,53.66,3,3,0,0,1,0,4,2,67,2,68.05,2,9,1,3,1,6,3,1,1,2,1,5,3,3,1,1,1,4,1,1,0,0,0,2,502
10750,16170032250,0,4,0,0,18000,39443.66197,1.07,76338,74010,1850.38,183.58,831.28,778.31,57.21,1,88,0,0,1,1,10,9,49.08,3,50.56,3,9,0,1,4,5,5,1,3,2,2,1,1,1,1,5,6,3,0,0,0,0,0,3,4362
10751,16170032252,0,3,0,0,0,19202.11268,1.07,28841,27267,1127.56,135.36,431.14,516.67,44.39,1,1,0,0,1,0,6,4,70.38,1,71.54,1,10,1,1,1,5,4,1,1,2,2,5,2,1,1,5,5,3,1,1,1,0,0,3,7819
10752,16170032263,0,2,0,0,14400,6607,1,21957,21007,994.67,58.68,352.86,545.63,37.5,1,1,0,0,1,0,4,1,74.9,1,74.9,1,2,1,1,2,6,4,1,1,5,1,5,2,1,1,5,5,2,1,0,0,0,0,3,2542
10753,16170032275,0,3,0,0,0,30979.31034,0.82,19010,17968,894.22,35.45,609.14,217.52,32.11,1,1,0,0,1,0,3,8,65.68,2,58.51,2,2,1,1,4,5,2,1,1,1,1,5,7,3,1,6,5,1,1,0,0,0,1,1,2008
10754,16170032278,0,4,0,0,7200,30393,1,38860,37593,1181.86,116.62,493.96,529.21,42.07,2,2,0,0,0,0,8,7,70.95,1,70.95,1,2,1,1,2,3,4,1,1,4,2,5,1,1,1,5,3,2,0,0,0,0,0,3,744
10755,16170032289,0,3,0,0,10800,65631.03448,0.82,49892,48866,531.18,85.99,134.86,278.16,32.17,1,1,0,0,0,0,9,10,81.73,1,81.73,1,9,1,2,5,9,2,1,1,2,3,5,6,1,1,5,3,1,0,0,0,0,0,3,1477
10756,16170032293,0,3,0,0,5880,33551,1,40749,39431,1041.16,104.54,532.12,367.51,36.99,1,1,0,0,0,0,8,8,64.7,2,65.53,2,1,1,1,3,4,2,1,1,2,2,5,1,1,1,5,3,2,0,0,0,0,0,3,2698
10757,16170032296,0,4,0,0,0,20217,1,21682,20217,1203.14,157.37,595.92,412.35,37.5,1,1,0,0,1,0,4,5,63.38,2,64.15,2,2,1,1,3,6,3,1,1,2,2,1,2,3,1,6,6,2,0,1,0,0,0,3,3867
10758,16170032297,0,4,0,0,8520,21376.66667,1.07,35522,34172,1617.99,145.61,876.19,553.29,42.9,1,1,0,0,1,0,7,5,58.57,2,57.96,2,2,1,1,3,4,4,1,1,1,2,3,3,1,2,3,3,3,0,0,0,0,0,3,1988
