,aacode,fpLIHCflg,fpLIHCqdt,fpLIHCgapEQ,fpLIHCgapUNEQ,HousingCosts,AHCIncomeEQ,AHCeqFactor,BHCeqFactor,FuelCosteqFactor,fpbasinc,fpfullinc,fuelexpn,wathcost,spahcost,litecost,cookcost,elecmop,gasmop,fpflgb,fpflgf,fpvuln,Unoc,FullincDeciles,EqAHCincDeciles,FPEER,FPEERband,sap12,EPC,gorEHS,Ongas,tenure4x,DWtype,dwage9x,FloorArea,CentralHeating,Mainfueltype,WallType,Loftins,boiler,hhcompx,emphrp3x,ethhrp2x,Ageyng,Ageold,hhsize,hhsick,CERTpriority,WFG_preApr11,WFG_postApr11,WFG_Sept12,ECO_AW,aagph1314
3655,L5168125,0,4,0,0,12000,39456.33803,1.42,1.33,1.07,69401,68028,1834.63,459.59,1099.85,218.7,56.49,1,88,0,0,1,0,10,9,46.52,3,46.52,3,9,0,2,3,3,4,1,3,2,1,1,3,1,1,1,5,3,0,0,0,0,0,3,1487
3656,L5168127,0,4,0,0,14400,46560.78431,2.04,1.86,1.32,100000,100000,2238.47,195.98,1057.58,929.24,55.67,1,1,0,0,1,0,10,10,68.75,1,68.75,1,9,1,1,3,6,5,1,1,1,1,4,3,1,1,1,5,5,0,0,0,0,0,3,2309
3657,L5172501,0,3,0,0,9360,37258.62069,0.58,0.67,0.82,31992,30970,999.63,153.73,463.66,348.92,33.32,1,1,0,0,0,1,7,9,56.38,2,56.38,2,9,1,2,3,4,3,1,1,1,1,1,6,1,1,3,3,1,0,0,0,0,0,3,1509
3658,L5172508,0,4,0,0,0,34639.65517,0.58,0.67,0.82,21241,20091,1121.68,207.05,540.01,341.3,33.32,1,1,0,0,1,1,4,9,58.36,2,58.36,2,9,1,1,4,8,4,1,1,1,2,1,7,3,1,4,5,1,0,1,0,0,0,3,3485
3659,L5172511,0,3,0,0,5760,17187.03704,1.62,1.53,1.21,34966,33603,1340.36,128.09,568.78,593.4,50.09,1,1,0,0,1,0,7,4,67.53,2,67.53,2,9,1,4,3,6,4,1,1,2,2,4,3,1,1,1,3,4,0,0,0,0,0,4,414
3660,L5172513,0,3,0,0,5928,21282.75862,0.58,0.67,0.82,12344,18272,918.93,129.73,456.7,299.18,33.32,1,1,0,0,1,1,4,6,58.92,2,58.92,2,9,1,4,3,5,2,1,1,1,2,1,7,3,1,4,5,1,1,1,0,0,0,2,400
3661,L5172514,0,4,0,0,0,15823,1,1,1,17186,15823,1519.55,200.83,826.8,450.04,41.88,2,2,0,0,1,0,3,4,54.15,3,54.15,3,9,1,1,3,5,3,1,1,1,2,1,2,3,1,4,5,2,0,0,0,0,0,3,2620
3662,L5172517,0,3,0,0,5200,13928,1,1,1,13928,19128,964.65,142.84,399.54,379.55,42.72,3,3,0,0,1,0,4,3,69.23,1,69.23,1,9,1,4,5,5,2,1,1,1,3,5,2,3,1,4,6,2,1,1,0,0,0,2,999
3663,L5172518,0,3,0,0,5538,14041.37931,0.58,0.67,0.82,14568,13682,770.62,101.27,323.7,312.33,33.32,1,1,0,0,1,1,2,3,70.28,1,70.28,1,9,1,4,1,6,2,1,1,1,2,5,7,1,1,4,5,1,0,0,0,0,0,4,749
3664,L5172522,0,3,0,0,4615.384615,16801.61538,1,1,1,17304,21417,814.38,95.42,381.77,298.28,38.91,1,1,0,0,1,0,5,4,77.62,1,71.47,1,9,1,4,1,5,2,1,1,1,2,5,2,3,1,5,6,2,1,1,0,0,0,2,569
3665,L5172526,0,4,0,0,9000,26225,1,1,1,36576,35225,1488.82,117.47,815.66,513.81,41.88,2,2,0,0,1,0,8,7,52.91,3,52.91,3,9,1,2,1,5,3,1,1,2,2,3,1,1,1,3,2,2,1,0,0,0,0,3,1902
3666,L5174607,0,3,0,0,7756.168324,17390.83168,1,1,1,26162,25147,793.99,130.69,290,334.39,38.91,1,1,0,0,0,0,6,4,69.52,1,69.52,1,9,1,2,5,9,1,1,1,2,3,5,1,1,2,3,2,2,0,0,0,0,0,3,2432
3667,L5174625,1,1,737.1459813,788.7462,8400,6810.833333,1.2,1.2,1.07,18433,16573,2143.73,178.53,1357.75,562.96,44.49,1,1,1,1,1,0,3,1,46.87,3,46.87,3,9,1,2,4,4,5,1,1,3,2,3,3,1,1,1,2,3,0,1,1,0,0,3,2643
3668,L5175804,0,4,0,0,0,40688.57143,1.4,1.4,1.21,59362,56964,3047.84,244.09,1992.55,761.11,50.09,1,1,0,0,1,0,10,9,26.72,4,26.72,4,9,1,1,1,2,5,1,1,3,1,1,3,1,1,1,3,4,0,0,0,0,0,3,2281
3669,L5175807,1,1,100.36,100.36,5928,11709,1,1,1,18596,17637,1366.7,239.16,697.8,390.83,38.91,1,1,0,0,0,0,3,2,53.57,3,53.57,3,9,1,4,3,4,3,1,1,2,2,1,4,1,1,2,3,2,0,0,0,0,0,4,1129
3670,L5175811,0,3,0,0,6656,22124.13793,0.58,0.67,0.82,12832,19488,537.66,94.47,288.78,109.12,45.29,2,2,0,0,1,0,4,6,81.02,1,73.09,1,9,0,4,5,8,1,1,3,1,3,-9,7,3,1,5,6,1,1,1,0,0,0,2,1775
3671,L5175816,0,4,0,0,2880,48946.55172,0.58,0.67,0.82,32312,31269,1372.18,241.42,805.87,291.57,33.32,1,1,0,0,0,0,7,10,46.79,3,46.79,3,9,1,1,3,6,2,1,1,2,1,2,6,1,1,3,4,1,0,0,0,0,0,3,3684
3672,L5175820,0,4,0,0,0,18399,1,1,1,20158,18399,1543.76,125.01,896.39,483.45,38.91,1,1,0,0,1,1,4,5,51.43,3,51.43,3,9,1,1,2,1,5,1,1,2,2,5,2,1,1,4,5,2,0,0,0,0,0,3,2480
3673,L5175823,0,3,0,0,5200,23077.47253,1.82,1.73,1.32,42001,47201,1152.89,212.42,284.07,595.27,61.13,3,3,0,0,1,0,9,6,76.14,1,76.14,1,9,1,4,1,8,3,1,1,3,1,4,3,3,1,1,2,5,1,1,0,0,0,4,292
3674,L5176504,0,4,0,0,4800,16997.85714,1.4,1.4,1.21,29917,28597,1707.13,179.13,837.02,640.89,50.09,1,1,0,0,1,0,6,4,63.36,2,63.36,2,9,1,1,2,4,5,1,1,2,1,5,3,1,1,1,3,4,0,0,0,0,0,3,3027
3675,L5176511,0,4,0,0,0,40003.44828,0.58,0.67,0.82,24192,23202,1250.91,201.41,596.47,417.16,35.87,2,2,0,0,1,1,5,9,57.39,2,57.39,2,9,1,1,2,7,3,1,1,2,2,1,7,1,1,5,6,1,0,1,0,0,0,3,2393
3676,L5176515,1,1,257.3721212,339.7312,13312,4932.880435,3.68,3.32,1.32,31413,31465,2011.3,358.06,516.03,1040.28,96.93,3,3,0,0,1,0,7,1,69.64,1,69.64,1,9,1,2,2,7,5,1,1,3,1,4,3,2,1,1,3,5,0,1,1,0,0,1,1073
3677,L5176518,0,4,0,0,0,20312.85714,1.4,1.4,1.21,28438,28438,2609.28,270,1500.52,788.67,50.09,1,1,0,0,1,0,6,5,59.83,2,59.83,2,9,1,2,4,6,5,1,1,1,1,1,3,1,1,1,3,4,0,0,0,0,0,3,1081
3678,L5176520,0,3,0,0,5200,16220.68966,0.58,0.67,0.82,14608,14608,1006,134.08,537.52,298.53,35.87,2,2,0,0,1,0,2,4,61.89,2,61.89,2,9,1,4,5,6,1,1,1,2,1,3,7,3,1,4,5,1,1,1,0,0,0,2,381
3679,L5176523,0,4,0,0,0,19480,1,1,1,20800,19480,1472.39,145.15,804.43,480.93,41.88,2,2,0,0,1,0,4,5,60.54,2,60.54,2,9,1,1,3,4,4,1,1,1,2,5,2,3,1,4,5,2,1,1,0,0,0,3,4312
